season,week,gameday,game_id,team_abbr,team,opponent_abbr,opponent,score_margin,quality_score,underlying_edge,net_epa,success_margin,yards_per_play_margin,explosive_margin,turnover_margin,turnover_luck_index,offensive_plays,data_source,updated_at_utc
2026,1,,2026_01_NO_DET,DET,Detroit Lions,NO,New Orleans Saints,1.0,72.0,0.014748274294249566,0.03108684569522986,0.0334501433577572,-0.39869385154507775,0.016565785281936918,2.0,0.3242857142857143,73,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_NO_DET,NO,New Orleans Saints,DET,Detroit Lions,-1.0,64.5,-0.014748274294249566,-0.03108684569522986,-0.0334501433577572,0.39869385154507775,-0.016565785281936918,-2.0,-0.3792857142857143,86,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_NYJ_TEN,NYJ,New York Jets,TEN,Tennessee Titans,13.0,85.5,0.26938703003820025,0.2869738847714689,0.05102040816326531,2.187074829931973,0.07585034013605443,0.0,-0.14928571428571424,60,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_NYJ_TEN,TEN,Tennessee Titans,NYJ,New York Jets,-13.0,51.0,-0.26938703003820025,-0.2869738847714689,-0.05102040816326531,-2.187074829931973,-0.07585034013605443,0.0,0.09428571428571432,49,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_SF_LA,LA,Los Angeles Rams,SF,San Francisco 49ers,-20.0,49.5,-0.3164949576080366,-0.44340648479218137,-0.13392857142857145,-0.7254464285714288,-0.022321428571428575,-1.0,-0.35071428571428576,56,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_SF_LA,SF,San Francisco 49ers,LA,Los Angeles Rams,20.0,87.0,0.3164949576080366,0.44340648479218137,0.13392857142857145,0.7254464285714288,0.022321428571428575,1.0,0.2957142857142857,64,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_TB_CIN,CIN,Cincinnati Bengals,TB,Tampa Bay Buccaneers,6.0,76.5,0.12120288895855633,0.1836536974017727,-0.0028462998102466996,0.12839974699557288,0.054079696394686905,3.0,0.5807142857142857,62,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_TB_CIN,TB,Tampa Bay Buccaneers,CIN,Cincinnati Bengals,-6.0,60.0,-0.12120288895855633,-0.1836536974017727,0.0028462998102466996,-0.12839974699557288,-0.054079696394686905,-3.0,-0.6357142857142858,51,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_WAS_PHI,PHI,Philadelphia Eagles,WAS,Washington Commanders,2.0,73.5,0.06686601464175906,0.01111956547429721,-0.07352941176470584,1.9362745098039218,0.044117647058823525,0.0,-0.14142857142857146,51,nflverse play-by-play,2026-09-14T16:58:49+00:00
2026,1,,2026_01_WAS_PHI,WAS,Washington Commanders,PHI,Philadelphia Eagles,-2.0,63.0,-0.06686601464175906,-0.01111956547429721,0.07352941176470584,-1.9362745098039218,-0.044117647058823525,0.0,0.08642857142857144,68,nflverse play-by-play,2026-09-14T16:58:49+00:00
