player_name,team_abbr,position,position_family,overall,trait_grade,performance_grade,performance_weight,availability_adjustment,macabets_rating,rating_confidence,rating_source,roster_status,injury_status,gsis_id
Divine Deablo,ATL,LB,LB,81.0,81.04,,0.0,0.0,81.04,baseline,Madden 27 baseline,ACT,,00-0036990
Jake Bailey,ATL,P,ST,78.0,81.0,,0.0,0.0,81.0,baseline,Madden 27 baseline,ACT,,00-0035280
Brian Robinson Jr,ATL,HB,RB,78.0,79.48,74.53481012658227,0.0736,0.0,79.12,baseline,Madden 27 + nflverse performance,ACT,,00-0037746
Xavier Watts,ATL,SS,DB,79.0,78.86,,0.0,0.0,78.86,baseline,Madden 27 baseline,ACT,,00-0040148
Jalon Walker,ATL,EDGE,DL,79.0,78.83,,0.0,0.0,78.83,baseline,Madden 27 baseline,ACT,,00-0040577
James Pearce Jr,ATL,EDGE,DL,79.0,78.16,,0.0,0.0,78.16,baseline,Madden 27 baseline,ACT,,00-0040578
Matthew Bergeron,ATL,LG,OL,76.0,77.11,,0.0,0.0,77.11,baseline,Madden 27 baseline,ACT,,00-0039048
Tua Tagovailoa,ATL,QB,QB,74.0,76.77,76.99444444444445,0.15360000000000001,0.0,76.8,medium,Madden 27 + nflverse performance,ACT,,00-0036212
Mike Hughes,ATL,CB,DB,75.0,76.58,,0.0,0.0,76.58,baseline,Madden 27 baseline,ACT,,00-0034843
Samson Ebukam,ATL,EDGE,DL,76.0,76.52,,0.0,0.0,76.52,baseline,Madden 27 baseline,ACT,,00-0033945
Clark Phillips III,ATL,CB,DB,75.0,76.11,,0.0,0.0,76.11,baseline,Madden 27 baseline,ACT,,00-0038568
Jawaan Taylor,ATL,RT,OL,75.0,75.97,,0.0,0.0,75.97,baseline,Madden 27 baseline,ACT,,00-0035237
Avieon Terrell,ATL,CB,DB,75.0,75.78,,0.0,0.0,75.78,baseline,Madden 27 baseline,ACT,,00-0041469
Olamide Zaccheaus,ATL,WR,WR,73.0,74.97,80.14016736401673,0.08666666666666667,0.0,75.42,baseline,Madden 27 + nflverse performance,ACT,,00-0035208
Michael Penix Jr,ATL,QB,QB,73.0,75.36,75.59320987654321,0.11040000000000001,0.0,75.39,medium,Madden 27 + nflverse performance,ACT,,00-0039917
Jahan Dotson,ATL,WR,WR,73.0,74.9,72.07740585774059,0.048,0.0,74.76,baseline,Madden 27 + nflverse performance,ACT,,00-0037741
Da'Shawn Hand,ATL,DT,DL,74.0,74.55,,0.0,0.0,74.55,baseline,Madden 27 baseline,ACT,,00-0034371
Zachariah Branch,ATL,WR,WR,73.0,74.51,,0.0,0.0,74.51,baseline,Madden 27 baseline,ACT,,00-0041044
Brandon Dorlus,ATL,DT,DL,73.0,74.25,,0.0,0.0,74.25,baseline,Madden 27 baseline,ACT,,00-0039859
Billy Bowman Jr,ATL,CB,DB,73.0,74.03,,0.0,0.0,74.03,baseline,Madden 27 baseline,ACT,,00-0040156
Zach Harrison,ATL,DT,DL,73.0,74.0,,0.0,0.0,74.0,baseline,Madden 27 baseline,ACT,,00-0038980
Austin Hooper,ATL,TE,TE,74.0,73.66,77.36029411764706,0.043333333333333335,0.0,73.82,baseline,Madden 27 + nflverse performance,ACT,,00-0032392
Azeez Ojulari,ATL,EDGE,DL,73.0,73.65,,0.0,0.0,73.65,baseline,Madden 27 baseline,ACT,,00-0036552
Mike Ford Jr,ATL,CB,DB,72.0,73.32,,0.0,0.0,73.32,baseline,Madden 27 baseline,ACT,,00-0034639
Matthew Hayball,ATL,P,ST,70.0,73.0,,0.0,0.0,73.0,baseline,Madden 27 baseline,,,
Christian Harris,ATL,LB,LB,72.0,72.99,,0.0,0.0,72.99,baseline,Madden 27 baseline,ACT,,00-0037823
Sydney Brown,ATL,SS,DB,72.0,72.9,,0.0,0.0,72.9,baseline,Madden 27 baseline,ACT,,00-0039002
Darnay Holmes,ATL,CB,DB,71.0,72.83,,0.0,0.0,72.83,baseline,Madden 27 baseline,ACT,,00-0036394
Layden Robinson,ATL,LG,OL,72.0,72.81,,0.0,0.0,72.81,baseline,Madden 27 baseline,ACT,,00-0039887
Bralen Trice,ATL,EDGE,DL,71.0,72.27,,0.0,0.0,72.27,baseline,Madden 27 baseline,ACT,,00-0039837
C.J. Henderson,ATL,CB,DB,70.0,71.58,,0.0,0.0,71.58,baseline,Madden 27 baseline,ACT,,00-0036281
Cameron Thomas,ATL,EDGE,DL,70.0,71.38,,0.0,0.0,71.38,baseline,Madden 27 baseline,ACT,,00-0037815
Troy Andersen,ATL,LB,LB,70.0,71.11,,0.0,0.0,71.11,baseline,Madden 27 baseline,ACT,,00-0037810
Tyler Goodson,ATL,HB,RB,68.0,71.0,58.62658227848102,0.0072,0.0,70.91,baseline,Madden 27 + nflverse performance,ACT,,00-0037120
Maason Smith,ATL,DT,DL,69.0,70.9,,0.0,0.0,70.9,baseline,Madden 27 baseline,ACT,,00-0039889
Wanya Morris,ATL,LT,OL,69.0,70.76,,0.0,0.0,70.76,baseline,Madden 27 baseline,ACT,,00-0038981
Kendal Daniels,ATL,LB,LB,69.0,70.42,,0.0,0.0,70.42,baseline,Madden 27 baseline,ACT,,00-0041066
JD Bertrand,ATL,LB,LB,69.0,70.31,,0.0,0.0,70.31,baseline,Madden 27 baseline,ACT,,00-0039370
Nate Carter,ATL,HB,RB,67.0,70.0,58.90189873417722,0.0072,0.0,69.92,baseline,Madden 27 + nflverse performance,ACT,,00-0040547
DeMarcco Hellams,ATL,FS,DB,69.0,69.86,,0.0,0.0,69.86,baseline,Madden 27 baseline,ACT,,00-0038628
LaCale London,ATL,DT,DL,68.0,69.56,,0.0,0.0,69.56,baseline,Madden 27 baseline,ACT,,00-0036204
Jammie Robinson,ATL,SS,DB,68.0,68.96,,0.0,0.0,68.96,baseline,Madden 27 baseline,ACT,,00-0038587
Dylan Drummond,ATL,WR,WR,66.0,68.96,59.08158995815899,0.014666666666666668,0.0,68.82,baseline,Madden 27 + nflverse performance,ACT,,00-0038953
Anterio Thompson,ATL,DT,DL,67.0,68.5,,0.0,0.0,68.5,baseline,Madden 27 baseline,ACT,,00-0041484
Ethan Onianwa,ATL,RG,OL,67.0,68.42,,0.0,0.0,68.42,baseline,Madden 27 baseline,ACT,,00-0041121
Darren Hall,ATL,FS,DB,66.0,67.93,,0.0,0.0,67.93,baseline,Madden 27 baseline,ACT,,00-0036956
Cooper Rush,ATL,QB,QB,65.0,68.0,60.19197530864198,0.0208,0.0,67.84,baseline,Madden 27 + nflverse performance,,,
Channing Tindall,ATL,LB,LB,66.0,67.39,,0.0,0.0,67.39,baseline,Madden 27 baseline,ACT,,00-0037813
Cobee Bryant,ATL,CB,DB,65.0,67.18,,0.0,0.0,67.18,baseline,Madden 27 baseline,ACT,,00-0040546
Michael Jerrell,ATL,RT,OL,65.0,66.44,,0.0,0.0,66.44,baseline,Madden 27 baseline,ACT,,00-0039842
Corey Levin,ATL,C,OL,64.0,66.36,,0.0,0.0,66.36,baseline,Madden 27 baseline,ACT,,00-0033793
James Brockermeyer,ATL,C,OL,64.0,66.33,,0.0,0.0,66.33,baseline,Madden 27 baseline,ACT,,00-0041186
Charlie Woerner,ATL,TE,TE,65.0,66.37,62.83455882352942,0.015,0.0,66.32,baseline,Madden 27 + nflverse performance,ACT,,00-0036429
Harold Perkins Jr.,ATL,LB,LB,64.0,65.9,,0.0,0.0,65.9,baseline,Madden 27 baseline,ACT,,00-0041112
Chris Williams,ATL,DT,DL,64.0,65.82,,0.0,0.0,65.82,baseline,Madden 27 baseline,ACT,,00-0035857
Andrew Stueber,ATL,RG,OL,64.0,65.62,,0.0,0.0,65.62,baseline,Madden 27 baseline,ACT,,00-0037620
Brandon Walton,ATL,LT,OL,63.0,65.41,,0.0,0.0,65.41,baseline,Madden 27 baseline,ACT,,00-0036123
Jack Nelson,ATL,RT,OL,63.0,65.34,,0.0,0.0,65.34,baseline,Madden 27 baseline,ACT,,00-0040224
Natrone Brooks,ATL,CB,DB,63.0,65.28,,0.0,0.0,65.28,baseline,Madden 27 baseline,ACT,,00-0038966
Storm Norton,ATL,LT,OL,63.0,65.23,,0.0,0.0,65.23,baseline,Madden 27 baseline,ACT,,00-0033752
Josh Woods,ATL,LB,LB,62.0,64.54,,0.0,0.0,64.54,baseline,Madden 27 baseline,,,
Kyle Hinton,ATL,LG,OL,63.0,64.49,,0.0,0.0,64.49,baseline,Madden 27 baseline,ACT,,00-0036354
DeAngelo Malone,ATL,LB,LB,62.0,63.6,,0.0,0.0,63.6,baseline,Madden 27 baseline,ACT,,00-0037808
Liam McCullough,ATL,LS,ST,64.0,61.0,,0.0,0.0,61.0,baseline,Madden 27 baseline,ACT,,00-0036082
Lamar Jackson,BAL,QB,QB,94.0,93.6,80.86481481481482,0.1208,0.0,92.06,medium,Madden 27 + nflverse performance,ACT,,00-0034796
Roquan Smith,BAL,LB,LB,93.0,91.28,,0.0,0.0,91.28,baseline,Madden 27 baseline,ACT,,00-0034874
Derrick Henry,BAL,HB,RB,93.0,91.53,87.78797468354432,0.2,0.0,90.78,medium,Madden 27 + nflverse performance,ACT,,00-0032764
Kyle Hamilton,BAL,SS,DB,92.0,90.65,,0.0,0.0,90.65,baseline,Madden 27 baseline,ACT,,00-0038038
Nnamdi Madubuike,BAL,DT,DL,90.0,89.09,,0.0,0.0,89.09,baseline,Madden 27 baseline,ACT,,00-0036130
Trey Hendrickson,BAL,EDGE,DL,90.0,89.08,,0.0,0.0,89.08,baseline,Madden 27 baseline,ACT,,00-0033935
Zay Flowers,BAL,WR,WR,88.0,87.57,92.06066945606695,0.15733333333333333,0.0,88.28,medium,Madden 27 + nflverse performance,ACT,,00-0039064
Mark Andrews,BAL,TE,TE,90.0,87.3,88.11029411764707,0.11666666666666668,0.0,87.39,medium,Madden 27 + nflverse performance,ACT,,00-0034753
Ronnie Stanley,BAL,LT,OL,86.0,86.74,,0.0,0.0,86.74,baseline,Madden 27 baseline,ACT,,00-0032965
Marlon Humphrey,BAL,CB,DB,85.0,85.53,,0.0,0.0,85.53,baseline,Madden 27 baseline,ACT,,00-0033281
Chidobe Awuzie,BAL,CB,DB,83.0,83.4,,0.0,0.0,83.4,baseline,Madden 27 baseline,ACT,,00-0033548
Calais Campbell,BAL,DT,DL,82.0,82.03,,0.0,0.0,82.03,baseline,Madden 27 baseline,ACT,,00-0026190
Tyler Loop,BAL,K,ST,78.0,81.0,,0.0,0.0,81.0,baseline,Madden 27 baseline,ACT,,00-0040074
Nate Wiggins,BAL,CB,DB,81.0,80.9,,0.0,0.0,80.9,baseline,Madden 27 baseline,ACT,,00-0039232
John Simpson,BAL,RG,OL,80.0,80.5,,0.0,0.0,80.5,baseline,Madden 27 baseline,ACT,,00-0036369
Roger Rosengarten,BAL,RT,OL,78.0,79.0,,0.0,0.0,79.0,baseline,Madden 27 baseline,ACT,,00-0039233
Justice Hill,BAL,HB,RB,77.0,79.0,74.64556962025317,0.0144,0.0,78.94,baseline,Madden 27 + nflverse performance,ACT,,00-0034975
Travis Jones,BAL,DT,DL,79.0,78.74,,0.0,0.0,78.74,baseline,Madden 27 baseline,ACT,,00-0037756
Olaivavega Ioane,BAL,LG,OL,78.0,78.61,,0.0,0.0,78.61,baseline,Madden 27 baseline,ACT,,00-0040866
Rashod Bateman,BAL,WR,WR,77.0,78.66,73.55439330543933,0.05066666666666667,0.0,78.4,baseline,Madden 27 + nflverse performance,ACT,,00-0036550
Malaki Starks,BAL,FS,DB,78.0,78.21,,0.0,0.0,78.21,baseline,Madden 27 baseline,ACT,,00-0040688
Jaylinn Hawkins,BAL,FS,DB,78.0,78.01,,0.0,0.0,78.01,baseline,Madden 27 baseline,ACT,,00-0036302
Trenton Simpson,BAL,LB,LB,78.0,77.9,,0.0,0.0,77.9,baseline,Madden 27 baseline,ACT,,00-0038504
Zion Young,BAL,EDGE,DL,76.0,76.79,,0.0,0.0,76.79,baseline,Madden 27 baseline,ACT,,00-0041494
Ryan Eckley,BAL,P,ST,73.0,76.0,,0.0,0.0,76.0,baseline,Madden 27 baseline,ACT,,00-0040898
Teddye Buchanan,BAL,LB,LB,75.0,75.26,,0.0,0.0,75.26,baseline,Madden 27 baseline,ACT,,00-0040069
John Jenkins,BAL,DT,DL,75.0,74.9,,0.0,0.0,74.9,baseline,Madden 27 baseline,ACT,,00-0030070
Mike Green,BAL,EDGE,DL,75.0,74.8,,0.0,0.0,74.8,baseline,Madden 27 baseline,ACT,,00-0040722
Tavius Robinson,BAL,EDGE,DL,74.0,74.33,,0.0,0.0,74.33,baseline,Madden 27 baseline,ACT,,00-0038505
Chris Moore,BAL,WR,WR,72.0,74.09,71.42050209205021,0.030666666666666665,0.0,74.01,baseline,Madden 27 + nflverse performance,,,
Ethan Pocic,BAL,C,OL,72.0,73.72,,0.0,0.0,73.72,baseline,Madden 27 baseline,,,
Elijah Sarratt,BAL,WR,WR,71.0,73.49,,0.0,0.0,73.49,baseline,Madden 27 baseline,ACT,,00-0040876
Devontez Walker,BAL,WR,WR,71.0,73.55,68.09414225941423,0.010666666666666668,0.0,73.49,baseline,Madden 27 + nflverse performance,ACT,,00-0039792
Ja'Kobi Lane,BAL,WR,WR,71.0,72.88,,0.0,0.0,72.88,baseline,Madden 27 baseline,ACT,,00-0040870
Adisa Isaac,BAL,EDGE,DL,72.0,72.79,,0.0,0.0,72.79,baseline,Madden 27 baseline,ACT,,00-0039791
Lajohntay Wester,BAL,WR,WR,70.0,72.46,50.4142259414226,0.0,0.0,72.46,baseline,Madden 27 baseline,ACT,,00-0040075
Andrew Vorhees,BAL,LG,OL,71.0,72.43,,0.0,0.0,72.43,baseline,Madden 27 baseline,ACT,,00-0038383
Chandler Rivers,BAL,CB,DB,71.0,72.11,,0.0,0.0,72.11,baseline,Madden 27 baseline,ACT,,00-0040885
K'Von Wallace,BAL,FS,DB,71.0,72.07,,0.0,0.0,72.07,baseline,Madden 27 baseline,ACT,,00-0036395
Broderick Washington,BAL,DT,DL,71.0,72.06,,0.0,0.0,72.06,baseline,Madden 27 baseline,ACT,,00-0036081
Rasheen Ali,BAL,HB,RB,69.0,72.0,63.76265822784811,0.005600000000000001,0.0,71.95,baseline,Madden 27 + nflverse performance,ACT,,00-0039796
T.J. Tampa,BAL,CB,DB,70.0,71.77,,0.0,0.0,71.77,baseline,Madden 27 baseline,ACT,,00-0039234
Emery Jones Jr,BAL,RT,OL,70.0,71.48,,0.0,0.0,71.48,baseline,Madden 27 baseline,ACT,,00-0040068
Tyler Huntley,BAL,QB,QB,68.0,71.0,67.49444444444444,0.026800000000000004,0.0,70.91,baseline,Madden 27 + nflverse performance,ACT,,00-0035993
Durham Smythe,BAL,TE,TE,70.0,70.59,60.106617647058826,0.010000000000000002,0.0,70.49,baseline,Madden 27 + nflverse performance,ACT,,00-0034798
Robert Longerbeam,BAL,CB,DB,69.0,70.43,,0.0,0.0,70.43,baseline,Madden 27 baseline,ACT,,00-0040077
Bilhal Kone,BAL,CB,DB,69.0,70.41,,0.0,0.0,70.41,baseline,Madden 27 baseline,ACT,,00-0040073
Cornelius Johnson,BAL,WR,WR,67.0,69.95,,0.0,0.0,69.95,baseline,Madden 27 baseline,ACT,,00-0039437
Amani Oruwariye,BAL,CB,DB,67.0,69.52,,0.0,0.0,69.52,baseline,Madden 27 baseline,ACT,,00-0035270
Aeneas Peebles,BAL,DT,DL,67.0,69.32,,0.0,0.0,69.32,baseline,Madden 27 baseline,ACT,,00-0040076
Carson Vinson,BAL,RT,OL,67.0,69.0,,0.0,0.0,69.0,baseline,Madden 27 baseline,ACT,,00-0040070
Rayshaun Benny,BAL,DT,DL,67.0,68.92,,0.0,0.0,68.92,baseline,Madden 27 baseline,ACT,,00-0040907
Evan Beerntsen,BAL,RG,OL,67.0,68.67,,0.0,0.0,68.67,baseline,Madden 27 baseline,ACT,,00-0040909
Cortez Braham Jr.,BAL,WR,WR,65.0,68.0,,0.0,0.0,68.0,baseline,Madden 27 baseline,ACT,,00-0040977
Adam Randall,BAL,HB,RB,65.0,68.0,,0.0,0.0,68.0,baseline,Madden 27 baseline,ACT,,00-0040888
Danny Pinter,BAL,C,OL,66.0,67.45,,0.0,0.0,67.45,baseline,Madden 27 baseline,ACT,,00-0036215
Aaron Graves,BAL,DT,DL,65.0,67.09,,0.0,0.0,67.09,baseline,Madden 27 baseline,ACT,,00-0040982
Nick Moore,BAL,LS,ST,70.0,67.0,,0.0,0.0,67.0,baseline,Madden 27 baseline,ACT,,00-0035408
